date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007112637505699636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,2.0559681826587924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0007112637505699636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,3.298155209864914e-05,0.0,0.0,0.0,2.0559681826587924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0007874705809881739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0599876927295e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7794496696006827e-05
2020-01-25,0.0,6.596310419729828e-05,0.0,0.0,0.0,2.0559681826587924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000812872857794244,0.0,0.0,1.0799672553928166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0599876927295e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7794496696006827e-05
2020-01-26,0.0,6.596310419729828e-05,0.0,0.0,0.0,2.0559681826587924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010668956258549453,0.0,0.0,1.0799672553928166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0599876927295e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7794496696006827e-05
2020-01-27,0.0,6.596310419729828e-05,0.0,0.0,0.0,4.111936365317585e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0011431024562731558,0.0,0.0,1.0799672553928166e-05,9.097202701141426e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.1799630781885e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7794496696006827e-05
2020-01-28,0.0,0.00013192620839459657,0.0,0.0,0.0,4.111936365317585e-05,9.826797775802592e-05,0.0,0.0,0.0,0.0,0.0,0.00203218214448561,0.0,0.0,1.0799672553928166e-05,0.0001364580405171214,0.0,0.0,0.0,0.0,0.0,0.0,0.00012239950770918,0.0,0.0,0.0,0.0,0.0,0.0,5.338349008802048e-05
2020-01-29,6.665151455569101e-05,0.00013192620839459657,4.910821929177109e-05,0.0,0.0,5.139920456646981e-05,9.826797775802592e-05,6.753813371875095e-05,0.0,0.0,0.0,2.0809116723746073e-05,0.0022354003589341712,0.0,0.0,1.0799672553928166e-05,0.0001364580405171214,0.0,3.950172523784976e-05,0.0,0.0,0.0,1.3077080102477232e-05,0.000152999384636475,5.9459713368505734e-05,2.45832342833852e-05,0.0,0.0,0.0,0.0,5.338349008802048e-05
2020-01-30,6.665151455569101e-05,0.00013192620839459657,4.910821929177109e-05,0.0,0.0,0.00010279840913293962,9.826797775802592e-05,6.753813371875095e-05,0.00020695150091576037,0.0,0.0,4.1618233447492145e-05,0.0022862049125463115,5.490616810401864e-05,0.0,1.0799672553928166e-05,0.00022743006752853567,6.633666387610434e-05,3.950172523784976e-05,0.0,0.0,0.0,1.3077080102477232e-05,0.000152999384636475,5.9459713368505734e-05,2.45832342833852e-05,0.0,0.0,0.0,0.0,7.11779867840273e-05
2020-01-31,9.997727183353651e-05,0.00016490776049324571,4.910821929177109e-05,0.0,0.0,0.00011307825004623357,9.826797775802592e-05,0.0001350762674375019,0.00020695150091576037,0.0,0.0,6.242735017123821e-05,0.003581721029655888,5.490616810401864e-05,5.783950924333197e-05,5.3998362769640825e-05,0.00031840209453994994,6.633666387610434e-05,3.950172523784976e-05,0.0,0.0,0.0,2.6154160204954463e-05,0.000275398892345655,5.9459713368505734e-05,2.45832342833852e-05,0.0,0.0,0.0,5.592490850684969e-05,0.00024912295374409553
